model,model_name,mae,fold,mean_mae
29,ExtraTreesRegressor,0.4049755181490087,10,0.48738854173369106
27,ExtraTreesRegressor,0.8652417761606864,8,0.48738854173369106
26,ExtraTreesRegressor,0.3918274267577135,7,0.48738854173369106
25,ExtraTreesRegressor,0.5696638292701756,6,0.48738854173369106
24,ExtraTreesRegressor,0.5152764688505318,5,0.48738854173369106
23,ExtraTreesRegressor,0.38045822776435645,4,0.48738854173369106
22,ExtraTreesRegressor,0.4661321183763027,3,0.48738854173369106
21,ExtraTreesRegressor,0.6388055093944432,2,0.48738854173369106
20,ExtraTreesRegressor,0.33541267964025817,1,0.48738854173369106
28,ExtraTreesRegressor,0.30609186297343355,9,0.48738854173369106
108,XGBRegressor,0.35896023501116403,9,0.4982817500645552
109,XGBRegressor,0.279973385239103,10,0.4982817500645552
100,XGBRegressor,0.4461138380993165,1,0.4982817500645552
107,XGBRegressor,0.8114948596455527,8,0.4982817500645552
106,XGBRegressor,0.4127041550033912,7,0.4982817500645552
105,XGBRegressor,0.7078360794147316,6,0.4982817500645552
104,XGBRegressor,0.4022066340838679,5,0.4982817500645552
103,XGBRegressor,0.7543566935309916,4,0.4982817500645552
102,XGBRegressor,0.3646332480375607,3,0.4982817500645552
101,XGBRegressor,0.4445383725798733,2,0.4982817500645552
96,CatBoostRegressor,0.4595847071557333,7,0.523115081607918
99,CatBoostRegressor,0.4042385377624032,10,0.523115081607918
90,CatBoostRegressor,0.5320603001770837,1,0.523115081607918
91,CatBoostRegressor,0.5187008440381001,2,0.523115081607918
92,CatBoostRegressor,0.5143885965539923,3,0.523115081607918
93,CatBoostRegressor,0.5457258299508295,4,0.523115081607918
98,CatBoostRegressor,0.3571943105912441,9,0.523115081607918
95,CatBoostRegressor,0.588267290208113,6,0.523115081607918
97,CatBoostRegressor,0.7797345901717195,8,0.523115081607918
94,CatBoostRegressor,0.5312558094699613,5,0.523115081607918
0,DecisionTreeRegressor,0.610773661019008,1,0.5383959288175207
6,DecisionTreeRegressor,0.21264471348708072,7,0.5383959288175207
8,DecisionTreeRegressor,0.418065336576459,9,0.5383959288175207
7,DecisionTreeRegressor,0.8301728998166245,8,0.5383959288175207
5,DecisionTreeRegressor,0.6205214993660235,6,0.5383959288175207
4,DecisionTreeRegressor,0.4839637850708015,5,0.5383959288175207
3,DecisionTreeRegressor,0.9608960135234902,4,0.5383959288175207
2,DecisionTreeRegressor,0.46812189548775235,3,0.5383959288175207
9,DecisionTreeRegressor,0.4692072188833263,10,0.5383959288175207
1,DecisionTreeRegressor,0.309592264944641,2,0.5383959288175207
12,RandomForestRegressor,0.45596011770922035,3,0.5562357403091569
13,RandomForestRegressor,0.6870112439957268,4,0.5562357403091569
14,RandomForestRegressor,0.6004231017287016,5,0.5562357403091569
19,RandomForestRegressor,0.44328659216891314,10,0.5562357403091569
15,RandomForestRegressor,0.6555372076863941,6,0.5562357403091569
18,RandomForestRegressor,0.3841032456125241,9,0.5562357403091569
16,RandomForestRegressor,0.46422623632793575,7,0.5562357403091569
17,RandomForestRegressor,0.9024783251221824,8,0.5562357403091569
11,RandomForestRegressor,0.4403301735446782,2,0.5562357403091569
10,RandomForestRegressor,0.5290011591952929,1,0.5562357403091569
31,GradientBoostingRegressor,0.5726461325987294,2,0.5877786747798517
38,GradientBoostingRegressor,0.3309930000623979,9,0.5877786747798517
37,GradientBoostingRegressor,0.9875432498420446,8,0.5877786747798517
36,GradientBoostingRegressor,0.4221873843480484,7,0.5877786747798517
35,GradientBoostingRegressor,0.8285846406126773,6,0.5877786747798517
34,GradientBoostingRegressor,0.5513563895553215,5,0.5877786747798517
33,GradientBoostingRegressor,0.6776992047899828,4,0.5877786747798517
32,GradientBoostingRegressor,0.416585920675573,3,0.5877786747798517
39,GradientBoostingRegressor,0.3951774076577051,10,0.5877786747798517
30,GradientBoostingRegressor,0.6950134176560367,1,0.5877786747798517
54,SVR,0.5737984179990048,5,0.7515737391893205
59,SVR,0.6765642879491836,10,0.7515737391893205
57,SVR,0.9883959320521883,8,0.7515737391893205
56,SVR,0.6478163387117494,7,0.7515737391893205
55,SVR,0.6988091963841698,6,0.7515737391893205
53,SVR,0.7133804396335846,4,0.7515737391893205
52,SVR,0.7010008375129633,3,0.7515737391893205
51,SVR,0.9392161960686958,2,0.7515737391893205
50,SVR,0.9361463201635597,1,0.7515737391893205
58,SVR,0.6406094254181054,9,0.7515737391893205
61,BayesianRidge,1.06039738964353,2,1.0519383898009995
68,BayesianRidge,1.0003209866875202,9,1.0519383898009995
67,BayesianRidge,1.3381693024462444,8,1.0519383898009995
66,BayesianRidge,0.9699916701005424,7,1.0519383898009995
65,BayesianRidge,0.9791083876802835,6,1.0519383898009995
64,BayesianRidge,1.0120083600491856,5,1.0519383898009995
63,BayesianRidge,1.18216109906429,4,1.0519383898009995
62,BayesianRidge,0.8934227461683324,3,1.0519383898009995
69,BayesianRidge,0.8134037180256726,10,1.0519383898009995
60,BayesianRidge,1.2704002381443942,1,1.0519383898009995
70,LinearRegression,1.29097822758626,1,1.0537892744886332
73,LinearRegression,1.2070655349088704,4,1.0537892744886332
72,LinearRegression,0.8942208819460262,3,1.0537892744886332
74,LinearRegression,1.0360157897670308,5,1.0537892744886332
79,LinearRegression,0.7989048577151834,10,1.0537892744886332
75,LinearRegression,0.9799694746842363,6,1.0537892744886332
76,LinearRegression,0.9644606109389717,7,1.0537892744886332
77,LinearRegression,1.3187485657329758,8,1.0537892744886332
71,LinearRegression,1.04295167795197,2,1.0537892744886332
78,LinearRegression,1.0045771236548073,9,1.0537892744886332
47,ElasticNet,1.837319589937032,8,1.3906430091998154
46,ElasticNet,1.4534980532579302,7,1.3906430091998154
44,ElasticNet,1.0173092567997266,5,1.3906430091998154
43,ElasticNet,1.196035617481384,4,1.3906430091998154
42,ElasticNet,1.4387892202486747,3,1.3906430091998154
41,ElasticNet,1.6571898412841004,2,1.3906430091998154
40,ElasticNet,1.4152429857333726,1,1.3906430091998154
45,ElasticNet,1.1949719306066489,6,1.3906430091998154
48,ElasticNet,1.3387101275887792,9,1.3906430091998154
81,Lasso,1.6571898412841004,2,1.3906430091998154
80,Lasso,1.4152429857333726,1,1.3906430091998154
89,Lasso,1.3573634690605048,10,1.3906430091998154
88,Lasso,1.3387101275887792,9,1.3906430091998154
87,Lasso,1.837319589937032,8,1.3906430091998154
86,Lasso,1.4534980532579302,7,1.3906430091998154
84,Lasso,1.0173092567997266,5,1.3906430091998154
83,Lasso,1.196035617481384,4,1.3906430091998154
82,Lasso,1.4387892202486747,3,1.3906430091998154
49,ElasticNet,1.3573634690605048,10,1.3906430091998154
85,Lasso,1.1949719306066489,6,1.3906430091998154
